wkt,id,name,line,plan
"POINT (-58.3918879844368 -34.6097566415391)",5,Rivadavia,F,Ley 670
"POINT (-58.3916717925306 -34.6159841159164)",4,México,F,Ley 670
"POINT (-58.3914495684842 -34.6229884072036)",3,San Juan,F,Ley 670
"POINT (-58.3877012769683 -34.6271346817864)",2,Sáenz Peña,F,Ley 670
"POINT (-58.3808899450676 -34.6268863664649)",1,Constitución,F,Ley 670
"POINT (-58.3932662078385 -34.5956318883283)",7,Santa Fe,F,Ley 670
"POINT (-58.3928878720027 -34.599925177679)",7,Córdoba,F,Ley 670
"POINT (-58.3922663202725 -34.6046631098638)",6,Corrientes,F,Ley 670
"POINT (-58.4213961696605 -34.5809244160488)",12,Plaza Italia,F,Ley 670
"POINT (-58.4103994164018 -34.5821944608953)",11,Salguero,F,Ley 670
"POINT (-58.4026435317683 -34.5834626553521)",10,Bustamante,F,Ley 670
"POINT (-58.3974819500087 -34.5872671226077)",9,Pueyrredón,F,Ley 670
"POINT (-58.3936175196861 -34.5903595144385)",8,Junín,F,Ley 670
"POINT (-58.4158057824123 -34.5978787956912)",19,Mario Bravo,G,Ley 670
"POINT (-58.4064734582487 -34.5980811189768)",18,Jean Jaures,G,Ley 670
"POINT (-58.4011044915076 -34.5948375644268)",17,Pueyrredón,G,Ley 670
"POINT (-58.3944681721024 -34.5958428902)",16,Riobamba,G,Ley 670
"POINT (-58.38824662266 -34.5958112763672)",15,Paraná,G,Ley 670
"POINT (-58.3826011426104 -34.5955204285415)",14,Cerrito,G,Ley 670
"POINT (-58.3738986543162 -34.5920870826833)",13,Retiro,G,Ley 670
"POINT (-58.4319510872616 -34.601830333176)",21,Estado de Israel,G,Ley 670
"POINT (-58.4229797665841 -34.5977839564814)",20,Gascón,G,Ley 670
"POINT (-58.4459610948949 -34.6076972292097)",23,Cid Campeador,G,Ley 670
"POINT (-58.4354535891699 -34.6087340082537)",22,Parque Centenario,G,Ley 670
"POINT (-58.4239097451513 -34.5902479891982)",24,Costa Rica,I,Ley 670
"POINT (-58.4215012891979 -34.5810395908661)",63,Plaza Italia,I,Ley 670
"POINT (-58.4300227329311 -34.5942805430669)",25,Córdoba,I,Ley 670
"POINT (-58.4386462298826 -34.5997913834537)",26,Corrientes,I,Ley 670
"POINT (-58.4424732255711 -34.6022442618873)",27,Warnes,I,Ley 670
"POINT (-58.4415547466058 -34.6202018288888)",30,Rivadavia,I,Ley 670
"POINT (-58.4410342751922 -34.6136928696476)",29,Aranguren,I,Ley 670
"POINT (-58.4455348221219 -34.6075361843412)",28,Díaz Vélez,I,Ley 670
"POINT (-58.4427793852262 -34.6300482840028)",32,Directorio,I,Ley 670
"POINT (-58.4404780851522 -34.626105643304)",31,Pedro Goyena,I,Ley 670
"POINT (-58.4162989469879 -34.648706408433)",40,Sáenz,H,Ley 317
"POINT (-58.412385152533 -34.6412689426098)",35,Hospitales,H,Ley 317
"POINT (-58.40374500152 -34.5985047294007)",36,Córdoba,H,Ley 317
"POINT (-58.4060698604819 -34.6372287794122)",34,Parque Patricios,H,Ley 317
"POINT (-58.4022260379246 -34.5942280022585)",37,Santa Fe,H,Ley 317
"POINT (-58.4053253432561 -34.604114845987)",33,Corrientes,H,Ley 317
"POINT (-58.3973606350083 -34.5876204291348)",38,Las Heras,H,Ley 317
"POINT (-58.392525467937 -34.5853531778846)",39,Plaza Francia,H,Ley 317
"POINT (-58.4060363817645 -34.6089352422548)",44,Plaza Once,H,Ley 317
"POINT (-58.4047317175168 -34.6152421533513)",45,Venezuela,H,Ley 317
"POINT (-58.4023227317347 -34.6230923215951)",46,Humberto I,H,Ley 317
"POINT (-58.4009695569283 -34.629375658098)",47,Inclán,H,Ley 317
"POINT (-58.3755305810974 -34.5925050591821)",41,Retiro,H,Ley 317
"POINT (-58.3822838839307 -34.5884689744278)",42,9 de Julio,H,Ley 317
"POINT (-58.4164732645489 -34.6569558683448)",43,Nueva Pompeya,H,Ley 317
"POINT (-58.4170458465661 -34.6492783556991)",59,Sáenz,H,Ley 5233
"POINT (-58.412385152533 -34.6412689426098)",55,Hospitales,H,Ley 5233
"POINT (-58.4057688781746 -34.6384279404652)",54,Parque Patricios,H,Ley 5233
"POINT (-58.4053253432561 -34.604114845987)",53,Corrientes,H,Ley 5233
"POINT (-58.4022260379246 -34.5942280022585)",56,Santa Fe,H,Ley 5233
"POINT (-58.3973606350083 -34.5876204291348)",57,Las Heras,H,Ley 5233
"POINT (-58.4060363817645 -34.6089352422548)",52,Plaza Once,H,Ley 5233
"POINT (-58.3912438364904 -34.5833126109415)",58,Facultad de Derecho,H,Ley 5233
"POINT (-58.4047317175168 -34.6152421533513)",51,Venezuela,H,Ley 5233
"POINT (-58.4023227317347 -34.6230923215951)",50,Humberto I,H,Ley 5233
"POINT (-58.4009695569283 -34.629375658098)",49,Inclán,H,Ley 5233
"POINT (-58.3989568854688 -34.635748886502)",48,Caseros,H,Ley 5233
"POINT (-58.3748884311761 -34.5845822049486)",61,Terminal,H,Ley 5233
"POINT (-58.3855061472243 -34.5781016973257)",60,Padre Mugica,H,Ley 5233
"POINT (-58.4310709847088 -34.6503366135386)",62,Fernández de la Cruz,H,Ley 5233
