wkt,id,name,line,buildstart,opening,closure
"POINT (-58.3989568854688 -34.635748886502)",1,Caseros,H,2001,2007,
"POINT (-58.4009695569283 -34.629375658098)",2,Inclán,H,2001,2007,
"POINT (-58.4023227317347 -34.6230923215951)",3,Humberto I,H,2001,2007,
"POINT (-58.4047317175168 -34.6152421533513)",4,Venezuela,H,2001,2007,
"POINT (-58.4060363817645 -34.6089352422548)",5,Plaza Once,H,2001,2007,
"POINT (-58.3805743445213 -34.6042452037712)",6,9 de Julio,D,1936,1937,
"POINT (-58.3979237565357 -34.5997570806249)",7,Facultad de Medicina,D,1936,1938,
"POINT (-58.3849560886096 -34.6016674772057)",8,Tribunales,D,1936,1937,
"POINT (-58.4071613212558 -34.5916278450705)",9,Agüero,D,1936,1938,
"POINT (-58.4159043927427 -34.5851475422084)",10,Scalabrini Ortiz,D,1936,1938,
"POINT (-58.4212331697005 -34.5814445685947)",11,Plaza Italia,D,1936,1938,
"POINT (-58.4257012357634 -34.578464035667)",12,Palermo,D,1936,1940,
"POINT (-58.374018216823 -34.5911938093721)",13,Retiro,C,1933,1936,
"POINT (-58.3781557831942 -34.601769923798)",14,Lavalle,C,1933,1936,
"POINT (-58.3795299795777 -34.6048437404279)",15,Diagonal Norte,C,1933,1934,
"POINT (-58.3806107173786 -34.6089833154282)",16,Avenida de Mayo,C,1933,1934,
"POINT (-58.38044447085 -34.612617280313)",17,Moreno,C,1933,1934,
"POINT (-58.3801736103442 -34.6181255988278)",18,Independencia,C,1933,1934,
"POINT (-58.3810801254228 -34.6277982902198)",19,Constitución,C,1933,1934,
"POINT (-58.3807148483638 -34.6036371051614)",21,Carlos Pellegrini,B,1928,1931,
"POINT (-58.3872961341576 -34.604093553428)",22,Uruguay,B,1928,1931,
"POINT (-58.3927812622604 -34.6044640362732)",23,Callao,B,1928,1930,
"POINT (-58.3994742577363 -34.6046429678427)",24,Pasteur,B,1928,1930,
"POINT (-58.4053639713074 -34.6046032989767)",25,Pueyrredón,B,1928,1930,
"POINT (-58.4117626011356 -34.6040795184799)",26,Carlos Gardel,B,1928,1930,
"POINT (-58.4209624717517 -34.6031649022273)",27,Medrano,B,1928,1930,
"POINT (-58.4312738604315 -34.6021622306381)",28,Ángel Gallardo,B,1928,1930,
"POINT (-58.4397151920098 -34.5990030261253)",29,Malabia - Osvaldo Pugliese,B,1928,1930,
"POINT (-58.4474784161237 -34.5917726438988)",30,Dorrego,B,1928,1930,
"POINT (-58.3742677265724 -34.6085590738884)",31,Perú,A,1911,1913,
"POINT (-58.3790851527922 -34.6088817222436)",32,Piedras,A,1911,1913,
"POINT (-58.3822324012181 -34.6090998072553)",33,Lima,A,1911,1913,
"POINT (-58.3867771943587 -34.6094125867903)",34,Sáenz Peña,A,1911,1913,
"POINT (-58.3926534624886 -34.6092952233562)",35,Congreso,A,1911,1913,
"POINT (-58.3970597879912 -34.6095511367424)",36,Pasco,A,1911,1913,
"POINT (-58.4014994091101 -34.6098715089862)",37,Alberti,A,1911,1913,
"POINT (-58.406945240778 -34.6097659975724)",38,Plaza Miserere,A,1911,1913,
"POINT (-58.4151857086427 -34.6107816902173)",39,Loria,A,1911,1914,
"POINT (-58.421815670424 -34.6117702288802)",40,Castro Barros,A,1911,1914,
"POINT (-58.4295003242477 -34.6152056101139)",41,Río de Janeiro,A,1911,1914,
"POINT (-58.436428529588 -34.6182799679461)",42,Acoyte,A,1911,1914,
"POINT (-58.4411776244941 -34.6204052134137)",43,Primera Junta,A,1911,1914,
"POINT (-58.3736762113467 -34.6092787012116)",44,Bolívar,E,1957,1966,
"POINT (-58.3778411223431 -34.6130107890376)",45,Belgrano,E,1957,1966,
"POINT (-58.3815925492011 -34.6179437153999)",46,Independencia,E,1957,1966,
"POINT (-58.3852255970135 -34.6222669369824)",47,San José,E,1938,1944,
"POINT (-58.3915117004694 -34.6227196674666)",48,Entre Ríos - Rodolfo Walsh,E,1938,1944,
"POINT (-58.3971088972371 -34.6231266618704)",49,Pichincha,E,1938,1944,
"POINT (-58.4029161700655 -34.6238993041226)",50,Jujuy,E,1938,1944,
"POINT (-58.4093907837292 -34.6247209696769)",51,Urquiza,E,1938,1944,
"POINT (-58.4338162517819 -34.6280175481316)",52,José María Moreno,E,1969,1973,
"POINT (-58.4424634008349 -34.6318472905924)",53,Emilio Mitre,E,1977,1985,
"POINT (-58.4112939023419 -34.588237109769)",54,Bulnes,D,1936,1938,
"POINT (-58.4024019717043 -34.5944475431205)",55,Pueyrredón,D,1936,1938,
"POINT (-58.3931251823401 -34.599639553207)",56,Callao,D,1936,1938,
"POINT (-58.3773142123629 -34.5949227700041)",57,General San Martín,C,1936,1937,
"POINT (-58.3799211800979 -34.6219167333603)",58,San Juan,C,1933,1934,
"POINT (-58.4502782572549 -34.6363891900731)",59,Medalla Milagrosa,E,1977,1985,
"POINT (-58.426789024345 -34.6270154668436)",60,Avenida La Plata,E,1960,1966,
"POINT (-58.4158855937001 -34.6254453711622)",61,Boedo,E,,1960,
"POINT (-58.4350135329444 -34.5751783653176)",62,Ministro Carranza,D,1988,1993,
"POINT (-58.4446681474259 -34.5700123091016)",63,Olleros,D,1994,1997,
"POINT (-58.4521256031295 -34.566215242404)",64,José Hernández,D,1994,1997,
"POINT (-58.4564891346516 -34.562309088005)",65,Juramento,D,1994,1999,
"POINT (-58.4551967582187 -34.5871909600777)",66,Federico Lacroze,B,1928,1930,
"POINT (-58.4618975522638 -34.6430088439855)",67,Plaza de los Virreyes,E,1977,1986,
"POINT (-58.4581068221865 -34.6399604103365)",68,Varela,E,1977,1985,
"POINT (-58.373872070172 -34.6078988241283)",69,Catedral,D,1936,1937,
"POINT (-58.3709684997244 -34.608810309661)",70,Plaza de Mayo,A,1911,1913,
"POINT (-58.4622162574978 -34.5557938152091)",71,Congreso de Tucumán,D,1994,2000,
"POINT (-58.3693742813062 -34.6029773467972)",72,Leandro N. Alem,B,1928,1931,
"POINT (-58.466227204617 -34.5840946203706)",73,Tronador - Villa Ortúzar,B,1999,2003,
"POINT (-58.4744194794342 -34.5811637234293)",74,De los Incas -  Parque Chas,B,1999,2003,
"POINT (-58.4567097990004 -34.6266665940388)",75,Carabobo,A,2004,2008,
"POINT (-58.4486476546517 -34.6235289531268)",76,Puán,A,2004,2008,
"POINT (-58.4053253432561 -34.604114845987)",77,Corrientes,H,2006,2010,
"POINT (-58.4057698611935 -34.6384271462914)",78,Parque Patricios,H,2005,2011,
"POINT (-58.412385152533 -34.6412689426098)",79,Hospitales,H,2005,2013,
"POINT (-58.3746989766716 -34.6033538687214)",20,Florida,B,1928,1931,
"POINT (-58.4810135041216 -34.5777973778049)",80,Echeverría,B,2005,2013,
"POINT (-58.4866449298786 -34.5741396507944)",81,Juan Manuel de Rosas,B,2005,2013,
"POINT (-58.4704769885795 -34.6309413487932)",83,San Pedrito,A,2004,2013,
"POINT (-58.4635405106623 -34.6290872274132)",82,San José de Flores,A,2004,2013,
"POINT (-58.4346553879005 -34.5753472267341)",84,Apeadero Carranza,D,,1987,1993
"POINT (-58.3811805331925 -34.6278039882617)",85,Constitución,E,1938,1944,1966
"POINT (-58.4146047807929 -34.6253034252031)",86,Apeadero Boedo,E,1938,1944,1960
"POINT (-58.3762652909006 -34.5922122888241)",89,Retiro,E,2008,,
"POINT (-58.371956123621 -34.5967953155765)",88,Catalinas,E,2008,,
"POINT (-58.3702969061717 -34.6034433544987)",87,Correo Central,E,2008,,
"POINT (-58.3912438364904 -34.5833126109415)",94,Facultad de Derecho,H,2014,,
"POINT (-58.392525467937 -34.5853531778846)",93,Plaza Francia,H,2012,,2013
"POINT (-58.3973606350083 -34.5876204291348)",92,Las Heras,H,2012,2015,
"POINT (-58.4022260379246 -34.5942280022585)",91,Santa Fe,H,2012,2016,
"POINT (-58.40374500152 -34.5985047294007)",90,Córdoba,H,2012,2015,
"POINT (-58.416299161294 -34.6487081009998)",95,Sáenz,H,2012,,2014
"POINT (-58.4164732645489 -34.6569558683448)",97,Nueva Pompeya,H,2012,,2014
